"He wrote the script in cooperation with Bianca Olsen, Laurie Aubanel and Cyril Rambour."	"In collaboration with Bianca Olsen, Laurie Aubanel and Cyril Rambour, he wrote the script."			
"The communes which border on Padenghe sul Garda are Polpenazze del Garda, Prevalle, Bedizzole, Calvagese della Riviera, Lonato, Soiano del Lago, and Muscoline."	"The municipalities which border Padenghe sul Garda are Polpenazze del Garda, Prevalle, Bedizzole, Calvagese della Riviera, Lonato, Soiano del Lago and Muscoline."			
"Union County is included in the Spartanburg, SC Metropolitan Statistical Area, which is also included in the Greenville -- Spartanburg -- Anderson, SC Combined Statistical Area."	"Union County is included in Spartanburg, SC Metropolitan Statistical Area, which is also included in the Greenville -- Spartanburg -- Anderson, SC combined statistical area."			
"Union County is included in the Spartanburg, SC Metropolitan Statistical Area, which is also included in the Greenville -- Spartanburg -- Anderson, SC Combined Statistical Area."	"Union County is included in Spartanburg, SC Metropolitan Statistical Area, which is also included in the statistical area combined in Greenville - Spartanburg - Anderson, SC."			
"Spartanburg is included in the Greenville Metropolitan Statistical Area, which is also included in the Union County -- Spartanburg, SC -- Anderson, SC Combined Statistical Area."	"Spartanburg is included in the Metropolitan Statistical Area Greenville, which is also included in the Union County -- Spartanburg, SC -- Anderson, SC Combined Statistical Service."			
"Spartanburg is included in the Greenville Metropolitan Statistical Area, which is also included in the Union County -- Spartanburg, SC -- Anderson, SC Combined Statistical Area."	"Spartanburg is included in the Metropolitan Statistical Area Greenville, which is also included in the Union County - Spartanburg, SC -- Anderson, SC combined statistics."			
"Mudzuri defeated ZANU-PF candidate Amos Midzi in the March 2002 mayoral election by a large margin, receiving 262,275 votes against 56,796 votes for Midzi."	"Mudzuri defeated ZANU-PF - candidate Amos Midzi in the mayoral election in March 2002 by a large margin and received 262,275 votes against 56,796 votes for Midzi."			
Arkansas Highway 1 Business is a business route in Forrest City. It is in length. The highway runs near Forrest City High School.	"Arkansas Highway 1 Business is a business route in Forrest City, in length, the highway runs near the Forrest City High School."			
"Julian Wehr (1898 -- 1970) was known as the ""Animated Master of American Books""."	"Julian Wehr (1898 - 1970) was known as the ""Animated Master of American Books""."			
"On March 17, 2015, Actavis acquired Allergan and took the Allergan name."	"On 17 March 2015, Actavis acquired Allergan and adopted the name Allergan."			
"On March 17, 2015, Actavis acquired Allergan and took the Allergan name."	Actavis acquired Allergan on 17 March 2015 and acquired the name Allergan.			
"On March 17, 2015, Allergan acquired Allergan and took the Actavis name."	"On March 17, 2015, Allergan Allergan acquired the name Actavis."			
"On March 17, 2015, Allergan acquired Allergan and took the Actavis name."	"On 17 March 2015, Allergan Allergan acquired the name Actavis."			
The road distance between Kampala's central business district and Kawempe is approximately.	The distance between Kampala's central business district and Kawempe is approximately.			
"11. Bidnick, Pianists, Left Handed -- Piano Concertos for the Left hand alone -- The Richard A. who Inspired the Composers. April 2005."	"11. Bidnick, pianists, left handers -- piano concertos for the left hand alone -- Richard A., who inspired the composers April 2005."			
"A fourth daughter, Leonora, was the step-great-grandmother of astronomer and astrophysicist Cecilia Payne-Gaposchkin."	"A fourth daughter, Leonora, was the stepmother of astronomer and astrophysicist Cecilia Payne-Gaposchkin."			
List of successful U-boats contains lists of the most successful German U-boats in the two World Wars based on total tonnage.	List of successful U boats contains lists of the most successful German U-boats in the two world wars based on total tonnage.			
"The Lagrangian of the ""free"" massless Wess -- Zumino model in four-dimensional spacetime with flat metric formula _ 1 is"	"The lagrangian of the ""free"" massless Wess -- Zumino -- model in four-dimensional space time with flat metric formula 1 is:"			
"The Lagrangian of the ""free"" massless Wess -- Zumino model in four-dimensional spacetime with flat metric formula _ 1 is"	"The lagrangian of the ""free"" massless Wess -- Zumino -- model in four-dimensional spacetime with flat metric formula 1:"			
A very small part of southwestern Great Valley borders the town of Red House.	A very small part of the southwestern Great Valley borders the town of Red House.			
A very small part of southwestern Red House borders the town of Great Valley.	A very small part of the southwestern Red House borders the town of Great Valley.			
Woodstock was established as a town in 1804 from part of the Town of Shandaken.	Woodstock was founded in 1804 as a town from a part of the town of Shandaken.			
"After the 1962 season, Green was traded to the New York Mets along with Tracy Stallard and Al Moran in exchange for Felix Mantilla."	"Following the 1962 season, Green was traded with Tracy Stallard and Al Moran in exchange for Felix Mantilla to the New York Mets."			
"After the 1962 season, Green was traded to the New York Mets along with Tracy Stallard and Al Moran in exchange for Felix Mantilla."	"After the season in 1962, Green was traded with Tracy Stallard and Al Moran in exchange for Felix Mantilla, with the New York Mets."			
"After the 1962 season, Green was traded to the New York Mets along with Felix Mantilla in exchange for Tracy Stallard and Al Moran."	"After the 1962 season, Green was traded with the New York Mets together with Felix Mantilla in exchange for Tracy Stallard and Al Moran."			
"It is found in North America, where it has been recorded from southern California and Nevada to Texas."	"It is found in North America, where it was recorded from southern California and Nevada to Texas."			
"It is found in California and Nevada, where it has been recorded from southern Texas to North America."	"It is found in California and in Nevada, where it has been recorded from southern Texas to North America."			
"It is 3 km northeast of the river Alfeios, 8 km southwest of Dimitsana, 10 km northeast of Andritsaina and 12 km northwest of Karytaina."	"It is situated 3 km northeast of the river Alfeios, 8 km southwest of Dimitsana, 10 km northeast of Andritsaina and 12 km northwest of Karytaina."			
"It is 3 km northwest of the river Alfeios, 8 km southwest of Dimitsana, 10 km northeast of Andritsaina and 12 km northeast of Karytaina."	"It is situated 3 km northwest of the river Alfeios, 8 km southwest of Dimitsana, 10 km northeast of Andritsaina and 12 km northeast of Karytaina."			
